k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity
5,0.250,0.8,0.500,10,207,5,0.00000000,1.00000000,0.35610418,1.00000000,2364,0.996774
5,0.250,0.8,0.750,10,207,5,0.00000000,1.00000000,0.35357617,1.00000000,4114,0.994385
5,0.250,0.8,0.900,10,207,5,0.00000000,1.00000000,0.39250078,1.00000000,5178,0.992933
5,0.250,0.8,1.000,10,207,5,0.00000000,1.00000000,0.35515473,1.00000000,5936,0.991899
5,0.250,0.8,1.200,10,207,5,0.00000000,1.00000000,0.33823410,1.00000000,7502,0.989762
5,0.250,1.2,0.500,10,207,5,0.00000000,1.00000000,0.39815585,1.00000000,2440,0.996670
5,0.250,1.2,0.750,10,207,5,0.00000000,1.00000000,0.36985185,1.00000000,4122,0.994375
5,0.250,1.2,0.900,10,207,5,0.00000000,1.00000000,0.38716245,1.00000000,5176,0.992936
5,0.250,1.2,1.000,10,207,5,0.00000000,1.00000000,0.44095500,1.00000000,5872,0.991986
5,0.250,1.2,1.200,10,207,5,0.00000000,1.00000000,0.39307803,1.00000000,7484,0.989786
5,0.250,1.6,0.500,10,207,5,0.00000000,1.00000000,0.38264251,1.00000000,2440,0.996670
5,0.250,1.6,0.750,10,207,5,0.00000000,1.00000000,0.38997414,1.00000000,4000,0.994541
5,0.250,1.6,0.900,10,207,5,0.00000000,1.00000000,0.39517866,1.00000000,5220,0.992876
5,0.250,1.6,1.000,10,207,5,0.00000000,1.00000000,0.48193993,1.00000000,5952,0.991877
5,0.250,1.6,1.200,10,207,5,0.00000000,1.00000000,0.38379085,1.00000000,7464,0.989814
5,0.250,2.0,0.500,10,207,5,0.00000000,1.00000000,0.41195140,1.00000000,2466,0.996635
5,0.250,2.0,0.750,10,207,5,0.00000000,1.00000000,0.43998321,1.00000000,4136,0.994355
5,0.250,2.0,0.900,10,207,5,0.00000000,1.00000000,0.33680998,1.00000000,5268,0.992811
5,0.250,2.0,1.000,10,207,5,0.00000000,1.00000000,0.40494559,1.00000000,6062,0.991727
5,0.250,2.0,1.200,10,207,5,0.00000000,1.00000000,0.38082721,1.00000000,7494,0.989773
5,0.250,2.6,0.500,10,207,5,0.00000000,1.00000000,0.46192811,1.00000000,2448,0.996659
5,0.250,2.6,0.750,10,207,5,0.00000000,1.00000000,0.35431816,1.00000000,4108,0.994394
5,0.250,2.6,0.900,10,207,5,0.00000000,1.00000000,0.33636233,1.00000000,5206,0.992895
5,0.250,2.6,1.000,10,207,5,0.00000000,1.00000000,0.36562900,1.00000000,5938,0.991896
5,0.250,2.6,1.200,10,207,5,0.00000000,1.00000000,0.44340110,1.00000000,7414,0.989882
5,0.250,3.2,0.500,10,207,5,0.00000000,1.00000000,0.35530895,1.00000000,2438,0.996673
5,0.250,3.2,0.750,10,207,5,0.00000000,1.00000000,0.43879820,1.00000000,4072,0.994443
5,0.250,3.2,0.900,10,207,5,0.00000000,1.00000000,0.38778873,1.00000000,5148,0.992974
5,0.250,3.2,1.000,10,207,5,0.00000000,1.00000000,0.43873658,1.00000000,5950,0.991880
5,0.250,3.2,1.200,10,207,5,0.00000000,1.00000000,0.33858426,1.00000000,7454,0.989827
5,0.350,0.8,0.500,10,106,5,0.00000000,1.00000000,0.33955576,1.00000000,1297,0.993208
5,0.350,0.8,0.750,10,106,5,0.00000000,1.00000000,0.47546107,1.00000000,2101,0.988998
5,0.350,0.8,0.900,10,106,5,0.00000000,1.00000000,0.40488844,1.00000000,2647,0.986139
5,0.350,0.8,1.000,10,106,5,0.00000000,1.00000000,0.41146813,1.00000000,3133,0.983594
5,0.350,0.8,1.200,10,106,5,0.00000000,1.00000000,0.40024450,1.00000000,3855,0.979813
5,0.350,1.2,0.500,10,106,5,0.00000000,1.00000000,0.35618192,1.00000000,1283,0.993282
5,0.350,1.2,0.750,10,106,5,0.00000000,1.00000000,0.38800839,1.00000000,2075,0.989134
5,0.350,1.2,0.900,10,106,5,0.00000000,1.00000000,0.37019922,1.00000000,2581,0.986485
5,0.350,1.2,1.000,10,106,5,0.00000000,1.00000000,0.34032861,1.00000000,2975,0.984422
5,0.350,1.2,1.200,10,106,5,0.00000000,1.00000000,0.38009125,1.00000000,3821,0.979992
5,0.350,1.6,0.500,10,106,5,0.00000000,1.00000000,0.38258899,1.00000000,1329,0.993041
5,0.350,1.6,0.750,10,106,5,0.00000000,1.00000000,0.43952447,1.00000000,2161,0.988684
5,0.350,1.6,0.900,10,106,5,0.00000000,1.00000000,0.42431309,1.00000000,2661,0.986066
