experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
1,25,0.500,1.6,1.50,20,104,25,800,0.00000000,1.00000000,0.31133767,1.00000000,4660,0.974561,0.025439,92.82
2,25,0.500,1.6,1.50,30,104,25,800,0.00000000,1.00000000,0.36376355,1.00000000,7098,0.961252,0.038748,92.02
3,25,0.500,1.6,1.50,50,104,25,800,0.00000000,1.00000000,0.32060071,1.00000000,11162,0.939067,0.060933,92.06
4,25,0.500,1.6,2.00,20,104,25,800,0.00000000,1.00000000,0.33341949,1.00000000,4660,0.974561,0.025439,92.95
5,25,0.500,1.6,2.00,30,104,25,800,0.00000000,1.00000000,0.20053887,1.00000000,7158,0.960925,0.039075,92.08
6,25,0.500,1.6,2.00,50,104,25,800,0.00000000,1.00000000,0.21650247,1.00000000,11238,0.938652,0.061348,91.91
7,25,0.500,1.6,2.50,20,104,25,800,0.00000000,1.00000000,0.29854289,1.00000000,4668,0.974517,0.025483,91.97
8,25,0.500,1.6,2.50,30,104,25,800,0.00000000,1.00000000,0.36601835,1.00000000,7164,0.960892,0.039108,92.03
9,25,0.500,1.6,2.50,50,104,25,800,0.00000000,1.00000000,0.19643003,1.00000000,11242,0.938630,0.061370,93.00
10,25,0.500,1.6,3.00,20,104,25,800,0.00000000,1.00000000,0.26371765,1.00000000,4656,0.974583,0.025417,91.91
11,25,0.500,1.6,3.00,30,104,25,800,0.00000000,1.00000000,0.34559029,1.00000000,7158,0.960925,0.039075,92.01
12,25,0.500,1.6,3.00,50,104,25,800,0.00000000,1.00000000,0.35406562,1.00000000,11240,0.938641,0.061359,91.96
13,25,0.500,1.6,4.00,20,104,25,800,0.00000000,1.00000000,0.32090416,1.00000000,4656,0.974583,0.025417,91.82
