experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
1,25,0.500,1.6,1.50,20,104,25,800,0.00000000,1.00000000,0.30862507,1.00000000,4654,0.974594,0.025406,176.96
2,25,0.500,1.6,1.50,30,104,25,800,0.00000000,1.00000000,0.22040371,1.00000000,7098,0.961252,0.038748,177.38
3,25,0.500,1.6,1.50,50,104,25,800,0.00000000,1.00000000,0.26923824,1.00000000,11176,0.938990,0.061010,179.89
4,25,0.500,1.6,2.00,20,104,25,800,0.00000000,1.00000000,0.27428749,1.00000000,4656,0.974583,0.025417,177.92
5,25,0.500,1.6,2.00,30,104,25,800,0.00000000,1.00000000,0.25992893,1.00000000,7160,0.960914,0.039086,177.65
6,25,0.500,1.6,2.00,50,104,25,800,0.00000000,1.00000000,0.27076697,1.00000000,11234,0.938674,0.061326,182.58
7,25,0.500,1.6,2.50,20,104,25,800,0.00000000,1.00000000,0.28100699,1.00000000,4656,0.974583,0.025417,177.87
8,25,0.500,1.6,2.50,30,104,25,800,0.00000000,1.00000000,0.26905952,1.00000000,7152,0.960957,0.039043,175.75
9,25,0.500,1.6,2.50,50,104,25,800,0.00000000,1.00000000,0.27125748,1.00000000,11240,0.938641,0.061359,178.56
10,25,0.500,1.6,3.00,20,104,25,800,0.00000000,1.00000000,0.20726695,1.00000000,4660,0.974561,0.025439,177.94
11,25,0.500,1.6,3.00,30,104,25,800,0.00000000,1.00000000,0.24840093,1.00000000,7160,0.960914,0.039086,177.85
12,25,0.500,1.6,3.00,50,104,25,800,0.00000000,1.00000000,0.37351523,1.00000000,11244,0.938619,0.061381,178.00
13,25,0.500,1.6,4.00,20,104,25,800,0.00000000,1.00000000,0.32653066,1.00000000,4658,0.974572,0.025428,182.73
14,25,0.500,1.6,4.00,30,104,25,800,0.00000000,1.00000000,0.29088971,1.00000000,7156,0.960935,0.039065,175.53
15,25,0.500,1.6,4.00,50,104,25,800,0.00000000,1.00000000,0.32023540,1.00000000,11238,0.938652,0.061348,177.25
16,25,0.500,1.6,5.00,20,104,25,800,0.00000000,1.00000000,0.26304482,1.00000000,4658,0.974572,0.025428,178.74
17,25,0.500,1.6,5.00,30,104,25,800,0.00000000,1.00000000,0.22269329,1.00000000,7156,0.960935,0.039065,177.63
18,25,0.500,1.6,5.00,50,104,25,800,0.00000000,1.00000000,0.20291256,1.00000000,11246,0.938608,0.061392,178.46
19,25,0.500,2.0,1.50,20,104,25,800,0.00000000,1.00000000,0.31687978,1.00000000,4660,0.974561,0.025439,177.33
20,25,0.500,2.0,1.50,30,104,25,800,0.00000000,1.00000000,0.31284009,1.00000000,7096,0.961263,0.038737,177.80
21,25,0.500,2.0,1.50,50,104,25,800,0.00000000,1.00000000,0.27394451,1.00000000,11146,0.939154,0.060846,177.12
22,25,0.500,2.0,2.00,20,104,25,800,0.00000000,1.00000000,0.26454542,1.00000000,4656,0.974583,0.025417,177.03
23,25,0.500,2.0,2.00,30,104,25,800,0.00000000,1.00000000,0.30584425,1.00000000,7162,0.960903,0.039097,174.00
24,25,0.500,2.0,2.00,50,104,25,800,0.00000000,1.00000000,0.29099039,1.00000000,11232,0.938685,0.061315,177.30
25,25,0.500,2.0,2.50,20,104,25,800,0.00000000,1.00000000,0.19676875,1.00000000,4660,0.974561,0.025439,176.37
26,25,0.500,2.0,2.50,30,104,25,800,0.00000000,1.00000000,0.29282033,1.00000000,7160,0.960914,0.039086,175.37
27,25,0.500,2.0,2.50,50,104,25,800,0.00000000,1.00000000,0.26293147,1.00000000,11240,0.938641,0.061359,176.54
28,25,0.500,2.0,3.00,20,104,25,800,0.00000000,1.00000000,0.31815773,1.00000000,4658,0.974572,0.025428,177.75
29,25,0.500,2.0,3.00,30,104,25,800,0.00000000,1.00000000,0.31847302,1.00000000,7162,0.960903,0.039097,174.88
30,25,0.500,2.0,3.00,50,104,25,800,0.00000000,1.00000000,0.30436428,1.00000000,11248,0.938597,0.061403,176.52
31,25,0.500,2.0,4.00,20,104,25,800,0.00000000,1.00000000,0.32627994,1.00000000,4664,0.974539,0.025461,175.70
32,25,0.500,2.0,4.00,30,104,25,800,0.00000000,1.00000000,0.24839233,1.00000000,7156,0.960935,0.039065,176.55
33,25,0.500,2.0,4.00,50,104,25,800,0.00000000,1.00000000,0.24008282,1.00000000,11238,0.938652,0.061348,175.64
34,25,0.500,2.0,5.00,20,104,25,800,0.00000000,1.00000000,0.27537169,1.00000000,4658,0.974572,0.025428,175.72
35,25,0.500,2.0,5.00,30,104,25,800,0.00000000,1.00000000,0.28671463,1.00000000,7162,0.960903,0.039097,177.21
36,25,0.500,2.0,5.00,50,104,25,800,0.00000000,1.00000000,0.18165132,1.00000000,11246,0.938608,0.061392,177.70
37,25,0.500,2.5,1.50,20,104,25,800,0.00000000,1.00000000,0.21356963,1.00000000,4660,0.974561,0.025439,175.09
38,25,0.500,2.5,1.50,30,104,25,800,0.00000000,1.00000000,0.32436259,1.00000000,7104,0.961219,0.038781,176.35
39,25,0.500,2.5,1.50,50,104,25,800,0.00000000,1.00000000,0.20917507,1.00000000,11152,0.939121,0.060879,177.54
40,25,0.500,2.5,2.00,20,104,25,800,0.00000000,1.00000000,0.31983858,1.00000000,4664,0.974539,0.025461,176.36
41,25,0.500,2.5,2.00,30,104,25,800,0.00000000,1.00000000,0.36573622,1.00000000,7160,0.960914,0.039086,175.69
42,25,0.500,2.5,2.00,50,104,25,800,0.00000000,1.00000000,0.26336727,1.00000000,11252,0.938575,0.061425,176.65
43,25,0.500,2.5,2.50,20,104,25,800,0.00000000,1.00000000,0.24839801,1.00000000,4658,0.974572,0.025428,178.65
44,25,0.500,2.5,2.50,30,104,25,800,0.00000000,1.00000000,0.23551284,1.00000000,7154,0.960946,0.039054,176.18
45,25,0.500,2.5,2.50,50,104,25,800,0.00000000,1.00000000,0.13895636,1.00000000,11250,0.938586,0.061414,179.20
46,25,0.500,2.5,3.00,20,104,25,800,0.00000000,1.00000000,0.27720756,1.00000000,4658,0.974572,0.025428,176.79
47,25,0.500,2.5,3.00,30,104,25,800,0.00000000,1.00000000,0.34023000,1.00000000,7160,0.960914,0.039086,175.86
48,25,0.500,2.5,3.00,50,104,25,800,0.00000000,1.00000000,0.29105485,1.00000000,11244,0.938619,0.061381,175.08
49,25,0.500,2.5,4.00,20,104,25,800,0.00000000,1.00000000,0.26957059,1.00000000,4660,0.974561,0.025439,173.66
50,25,0.500,2.5,4.00,30,104,25,800,0.00000000,1.00000000,0.28584016,1.00000000,7158,0.960925,0.039075,176.02
51,25,0.500,2.5,4.00,50,104,25,800,0.00000000,1.00000000,0.26627237,1.00000000,11256,0.938554,0.061446,174.17
52,25,0.500,2.5,5.00,20,104,25,800,0.00000000,1.00000000,0.33057873,1.00000000,4654,0.974594,0.025406,175.15
53,25,0.500,2.5,5.00,30,104,25,800,0.00000000,1.00000000,0.26064249,1.00000000,7162,0.960903,0.039097,174.86
54,25,0.500,2.5,5.00,50,104,25,800,0.00000000,1.00000000,0.21657410,1.00000000,11246,0.938608,0.061392,172.35
55,25,0.500,3.0,1.50,20,104,25,800,0.00000000,1.00000000,0.38956918,1.00000000,4654,0.974594,0.025406,175.32
56,25,0.500,3.0,1.50,30,104,25,800,0.00000000,1.00000000,0.31172215,1.00000000,7102,0.961230,0.038770,174.98
57,25,0.500,3.0,1.50,50,104,25,800,0.00000000,1.00000000,0.27691815,1.00000000,11138,0.939198,0.060802,174.51
58,25,0.500,3.0,2.00,20,104,25,800,0.00000000,1.00000000,0.34766996,1.00000000,4656,0.974583,0.025417,180.83
59,25,0.500,3.0,2.00,30,104,25,800,0.00000000,1.00000000,0.31135285,1.00000000,7158,0.960925,0.039075,172.92
60,25,0.500,3.0,2.00,50,104,25,800,0.00000000,1.00000000,0.30466588,1.00000000,11242,0.938630,0.061370,175.60
61,25,0.500,3.0,2.50,20,104,25,800,0.00000000,1.00000000,0.26207943,1.00000000,4660,0.974561,0.025439,172.30
62,25,0.500,3.0,2.50,30,104,25,800,0.00000000,1.00000000,0.28905585,1.00000000,7164,0.960892,0.039108,178.04
63,25,0.500,3.0,2.50,50,104,25,800,0.00000000,1.00000000,0.29874705,1.00000000,11240,0.938641,0.061359,173.76
64,25,0.500,3.0,3.00,20,104,25,800,0.00000000,1.00000000,0.28845618,1.00000000,4660,0.974561,0.025439,174.44
65,25,0.500,3.0,3.00,30,104,25,800,0.00000000,1.00000000,0.21275835,1.00000000,7152,0.960957,0.039043,179.36
66,25,0.500,3.0,3.00,50,104,25,800,0.00000000,1.00000000,0.21549293,1.00000000,11244,0.938619,0.061381,174.59
67,25,0.500,3.0,4.00,20,104,25,800,0.00000000,1.00000000,0.28680507,1.00000000,4660,0.974561,0.025439,174.15
68,25,0.500,3.0,4.00,30,104,25,800,0.00000000,1.00000000,0.29722453,1.00000000,7154,0.960946,0.039054,178.66
69,25,0.500,3.0,4.00,50,104,25,800,0.00000000,1.00000000,0.29326765,1.00000000,11242,0.938630,0.061370,178.17
70,25,0.500,3.0,5.00,20,104,25,800,0.00000000,1.00000000,0.39756831,1.00000000,4666,0.974528,0.025472,177.18
71,25,0.500,3.0,5.00,30,104,25,800,0.00000000,1.00000000,0.30542058,1.00000000,7156,0.960935,0.039065,176.40
72,25,0.500,3.0,5.00,50,104,25,800,0.00000000,1.00000000,0.22654445,1.00000000,11242,0.938630,0.061370,175.44
73,25,0.600,1.6,1.50,20,72,25,800,0.00000000,1.00000000,0.29016779,1.00000000,3230,0.963628,0.036372,128.66
74,25,0.600,1.6,1.50,30,72,25,800,0.00000000,1.00000000,0.26280007,1.00000000,4914,0.944665,0.055335,125.90
75,25,0.600,1.6,1.50,50,72,25,800,0.00000000,1.00000000,0.24277247,1.00000000,7684,0.913472,0.086528,125.89
76,25,0.600,1.6,2.00,20,72,25,800,0.00000000,1.00000000,0.29615134,1.00000000,3230,0.963628,0.036372,124.21
77,25,0.600,1.6,2.00,30,72,25,800,0.00000000,1.00000000,0.32608409,1.00000000,4956,0.944192,0.055808,125.70
78,25,0.600,1.6,2.00,50,72,25,800,0.00000000,1.00000000,0.25710210,1.00000000,7734,0.912909,0.087091,124.38
79,25,0.600,1.6,2.50,20,72,25,800,0.00000000,1.00000000,0.36869048,1.00000000,3226,0.963673,0.036327,124.93
80,25,0.600,1.6,2.50,30,72,25,800,0.00000000,1.00000000,0.36148184,1.00000000,4950,0.944259,0.055741,124.29
81,25,0.600,1.6,2.50,50,72,25,800,0.00000000,1.00000000,0.20530499,1.00000000,7738,0.912864,0.087136,125.06
82,25,0.600,1.6,3.00,20,72,25,800,0.00000000,1.00000000,0.27154231,1.00000000,3230,0.963628,0.036372,127.34
83,25,0.600,1.6,3.00,30,72,25,800,0.00000000,1.00000000,0.32169916,1.00000000,4948,0.944282,0.055718,125.50
84,25,0.600,1.6,3.00,50,72,25,800,0.00000000,1.00000000,0.27004824,1.00000000,7728,0.912977,0.087023,126.25
85,25,0.600,1.6,4.00,20,72,25,800,0.00000000,1.00000000,0.26944322,1.00000000,3230,0.963628,0.036372,125.06
86,25,0.600,1.6,4.00,30,72,25,800,0.00000000,1.00000000,0.28895930,1.00000000,4956,0.944192,0.055808,125.45
87,25,0.600,1.6,4.00,50,72,25,800,0.00000000,1.00000000,0.21543359,1.00000000,7730,0.912954,0.087046,128.71
88,25,0.600,1.6,5.00,20,72,25,800,0.00000000,1.00000000,0.34711221,1.00000000,3232,0.963605,0.036395,123.07
89,25,0.600,1.6,5.00,30,72,25,800,0.00000000,1.00000000,0.32372799,1.00000000,4940,0.944372,0.055628,124.19
90,25,0.600,1.6,5.00,50,72,25,800,0.00000000,1.00000000,0.26798477,1.00000000,7740,0.912842,0.087158,125.60
91,25,0.600,2.0,1.50,20,72,25,800,0.00000000,1.00000000,0.36856500,1.00000000,3226,0.963673,0.036327,124.25
92,25,0.600,2.0,1.50,30,72,25,800,0.00000000,1.00000000,0.26983162,1.00000000,4898,0.944845,0.055155,125.92
93,25,0.600,2.0,1.50,50,72,25,800,0.00000000,1.00000000,0.28911963,1.00000000,7664,0.913698,0.086302,129.94
94,25,0.600,2.0,2.00,20,72,25,800,0.00000000,1.00000000,0.35772229,1.00000000,3236,0.963560,0.036440,126.08
95,25,0.600,2.0,2.00,30,72,25,800,0.00000000,1.00000000,0.26634498,1.00000000,4946,0.944304,0.055696,127.02
96,25,0.600,2.0,2.00,50,72,25,800,0.00000000,1.00000000,0.21522927,1.00000000,7732,0.912932,0.087068,141.39
97,25,0.600,2.0,2.50,20,72,25,800,0.00000000,1.00000000,0.34119528,1.00000000,3226,0.963673,0.036327,125.42
98,25,0.600,2.0,2.50,30,72,25,800,0.00000000,1.00000000,0.30316949,1.00000000,4956,0.944192,0.055808,126.43
99,25,0.600,2.0,2.50,50,72,25,800,0.00000000,1.00000000,0.29469315,1.00000000,7746,0.912774,0.087226,125.97
100,25,0.600,2.0,3.00,20,72,25,800,0.00000000,1.00000000,0.31622951,1.00000000,3228,0.963650,0.036350,127.38
101,25,0.600,2.0,3.00,30,72,25,800,0.00000000,1.00000000,0.23612527,1.00000000,4944,0.944327,0.055673,126.70
102,25,0.600,2.0,3.00,50,72,25,800,0.00000000,1.00000000,0.30207213,1.00000000,7732,0.912932,0.087068,149.79
103,25,0.600,2.0,4.00,20,72,25,800,0.00000000,1.00000000,0.23191297,1.00000000,3228,0.963650,0.036350,152.39
104,25,0.600,2.0,4.00,30,72,25,800,0.00000000,1.00000000,0.28283293,1.00000000,4948,0.944282,0.055718,154.20
105,25,0.600,2.0,4.00,50,72,25,800,0.00000000,1.00000000,0.24284093,1.00000000,7738,0.912864,0.087136,133.74
