sample_id,umap1,umap2,label,split
0,-0.479796,16.843592,-1,train
1,17.358702,5.200756,-1,train
2,17.043919,5.949330,-1,train
3,18.847080,-1.491409,-1,train
4,13.871575,-1.607521,-1,train
5,-3.401912,10.883475,-1,train
6,1.411661,-1.067327,-1,train
7,13.073282,9.970612,-1,train
8,17.350277,5.911047,-1,train
9,5.945940,-5.851070,-1,train
10,4.452229,19.735596,-1,train
11,5.767766,-5.630323,-1,train
12,17.205027,5.681748,-1,train
13,17.519684,6.068928,-1,train
14,14.624524,11.773002,-1,train
15,5.736073,-5.602619,-1,train
16,-7.690099,0.680431,-1,train
17,-3.602765,10.192159,-1,train
18,-3.492986,9.838933,1,train
19,-5.076154,-0.515605,-1,train
20,-0.636597,17.040506,-1,train
21,-3.328885,10.449453,-1,train
22,5.872124,-5.704816,-1,train
23,-6.493437,3.903456,-1,train
24,-0.508680,16.868431,-1,train
25,11.216474,21.082594,-1,train
26,6.029221,-5.846841,-1,train
27,-2.501351,11.143947,1,train
28,-4.536995,0.914245,-1,train
29,-0.460652,16.830519,-1,train
30,5.771828,-5.779111,-1,train
31,-4.787395,-0.613108,1,train
32,16.364889,12.859733,-1,train
33,-3.223984,11.154636,1,train
34,14.762140,10.163357,-1,train
35,11.064579,-4.525461,-1,train
36,-0.432025,16.686548,-1,train
37,16.847794,6.114486,-1,train
38,14.615413,-0.278383,-1,train
39,-3.406501,10.874162,-1,train
40,5.959655,-5.771074,-1,train
41,8.984758,15.431784,-1,train
42,6.001658,-5.819658,-1,train
43,6.064326,-5.858204,-1,train
44,16.955986,11.838425,-1,train
45,-7.965984,-6.845894,-1,train
46,-3.530714,10.579342,-1,train
47,7.117628,17.124790,-1,train
48,-0.015734,16.942759,-1,train
49,16.232821,12.879272,-1,train
50,17.005953,5.775554,-1,train
51,5.654321,14.082686,-1,train
52,17.656450,5.787326,-1,train
53,17.753134,5.674017,-1,train
54,14.598416,8.830534,-1,train
55,-4.714220,8.127187,-1,train
56,17.609558,5.855767,-1,train
57,5.500084,-5.524217,-1,train
58,16.575859,13.948659,-1,train
59,-1.760826,-3.561304,1,train
60,14.470769,11.408478,-1,train
61,5.852280,-5.724786,1,train
62,12.288050,18.661617,-1,train
63,-7.609785,5.270472,-1,train
64,17.644770,5.898353,-1,train
65,17.188112,6.021834,-1,train
66,14.689021,-0.198947,-1,train
67,-3.432498,10.804209,-1,train
68,15.016987,0.794915,-1,train
69,5.761587,-5.834664,-1,train
70,16.279512,12.645542,-1,train
71,16.004860,12.418013,1,train
72,-3.733480,10.458167,-1,train
73,5.355637,-9.276579,-1,train
74,2.091781,13.620844,-1,train
75,17.585129,6.126031,-1,train
76,-0.425582,16.782940,-1,train
77,14.025795,-1.457361,1,train
78,16.016495,15.606039,-1,train
79,16.305595,12.776678,-1,train
80,8.718817,16.060770,-1,train
81,10.828423,-5.968204,-1,train
82,-5.023067,-0.757886,-1,train
83,2.388053,16.954433,-1,train
84,-0.071615,16.717012,-1,train
85,17.511839,5.848531,-1,train
86,5.934256,-5.824412,-1,train
87,5.764462,-5.612636,-1,train
88,3.255468,14.329685,-1,train
89,16.316183,12.797388,-1,train
90,17.758886,5.955210,-1,train
91,-0.443859,16.848110,-1,train
92,17.274269,5.983433,-1,train
93,-0.615880,16.940409,-1,train
94,14.072183,-1.277472,-1,train
95,-0.267208,16.649498,-1,train
96,6.025071,-5.853381,-1,train
97,-0.542891,16.937527,-1,train
98,17.394857,5.953986,-1,train
99,6.099143,-5.654139,-1,train
100,6.012727,-5.838521,1,train
101,5.895856,-5.708542,-1,train
102,9.068662,16.945953,-1,train
103,16.664778,1.641099,-1,train
104,-4.679322,-1.090099,-1,train
105,6.068997,-5.870583,-1,train
106,4.507299,19.390450,-1,train
107,-2.956241,10.446314,1,train
108,17.486917,6.037201,-1,train
109,6.071338,-5.890730,-1,train
110,-2.192477,-6.275734,-1,train
111,-2.672745,2.817611,-1,train
112,6.086140,-5.891382,-1,train
113,-0.490755,16.863131,-1,train
114,-4.071654,10.614720,-1,train
115,7.680230,16.434761,-1,train
116,16.030407,12.497986,-1,train
117,-0.046130,16.524481,-1,train
118,-6.986950,-3.165443,-1,train
119,15.197069,-4.158405,-1,train
120,5.826571,-5.656703,-1,train
121,17.232044,11.872095,-1,train
122,15.258590,10.596798,-1,train
123,-4.914849,-0.656012,-1,train
124,7.147738,16.186092,-1,train
125,-4.801008,6.467887,-1,train
126,5.776668,-5.600374,-1,train
127,5.909925,-5.222799,-1,train
128,6.086576,-5.860778,-1,train
129,5.295169,-5.624590,-1,train
130,5.955034,-5.753186,-1,train
131,-5.270683,-1.063803,-1,train
132,6.008198,-5.612628,-1,train
133,17.966032,5.236929,1,train
134,-0.685815,17.063875,-1,train
135,5.829518,-5.882122,-1,train
136,17.332903,5.674552,-1,train
137,5.973743,-6.223159,-1,train
138,6.139307,-5.974604,-1,train
139,-4.987202,-0.730864,-1,train
140,17.309359,5.820360,-1,train
141,7.266597,16.547850,-1,train
142,17.175783,6.168372,-1,train
143,6.050555,-5.874894,-1,train
144,-0.622958,16.831553,-1,train
145,-4.018288,13.018901,-1,train
146,-3.703691,0.146893,-1,train
147,-3.610237,12.085930,-1,train
148,17.677507,6.162405,-1,train
149,23.612375,-7.931539,-1,train
150,-6.972969,4.824510,-1,train
151,5.781893,-5.601956,-1,train
152,-4.877695,-0.578792,-1,train
153,6.028804,-5.848267,-1,train
154,-2.746548,10.939590,-1,train
155,5.974821,-5.764904,-1,train
156,21.429567,10.818095,-1,train
157,-7.465624,2.942001,-1,train
158,-0.704592,17.073786,-1,train
159,5.906466,-5.731084,-1,train
160,-3.349393,10.780174,-1,train
161,-4.975617,7.063185,-1,train
162,13.259936,15.002183,-1,train
163,17.183321,5.787533,1,train
164,11.037370,-1.076850,-1,train
165,-4.700025,-0.591536,1,train
166,6.026243,-5.765904,-1,train
167,16.319841,1.217861,-1,train
168,6.137228,-5.934999,-1,train
169,-4.891100,-0.699332,-1,train
170,-4.795192,-0.455095,-1,train
171,17.398085,6.019528,-1,train
172,5.994459,-5.813141,-1,train
173,14.480781,10.018190,-1,train
174,-4.777933,6.428203,-1,train
175,10.167630,16.805149,-1,train
176,-0.343782,16.693266,-1,train
177,-9.875510,4.344482,-1,train
178,17.345634,5.285058,1,train
179,9.156021,15.178468,-1,train
180,6.053313,-5.816567,-1,train
181,6.083873,-5.686831,-1,train
182,13.915812,-1.561757,-1,train
183,-6.024515,8.649677,-1,train
184,17.117542,6.293059,-1,train
185,-2.853645,16.305151,-1,train
186,17.566450,6.078005,-1,train
187,14.580377,10.262798,-1,train
188,16.984640,5.062085,-1,train
189,6.040158,-5.826843,-1,train
190,-1.819874,-3.473754,-1,train
191,-2.858590,11.467596,-1,train
192,16.948324,6.150841,-1,train
193,13.879260,-1.592086,-1,train
194,11.675056,-1.083809,-1,train
195,5.903860,-5.682264,-1,train
196,2.146137,16.031240,-1,train
197,4.651495,19.164383,-1,train
198,-3.508596,10.851895,-1,train
199,13.903328,13.403470,-1,train
200,4.430392,19.910286,-1,train
201,17.256075,5.502595,-1,train
202,5.976522,-5.869009,-1,train
203,2.884502,-5.868729,1,train
204,14.448433,1.490751,-1,train
205,-0.641650,16.972527,-1,train
206,6.047812,-5.873666,-1,train
207,-5.542157,-3.759399,-1,train
208,13.925668,13.475005,-1,train
209,7.434876,17.866014,-1,train
210,6.158075,-5.613142,-1,train
211,4.515314,-2.507459,1,train
212,8.902492,15.893098,-1,train
213,5.913152,-5.730433,-1,train
214,16.235367,12.207319,-1,train
215,15.989243,12.445392,-1,train
216,5.778252,-5.619199,-1,train
217,-3.517094,10.936693,-1,train
218,17.344856,-3.432595,-1,train
219,6.079618,21.273010,-1,train
220,6.256825,21.114496,-1,train
221,16.565817,13.018470,-1,train
222,11.564858,-3.232176,-1,train
223,-4.558169,7.252656,-1,train
224,6.012499,-5.595737,-1,train
225,-3.612057,10.203002,-1,train
226,-3.230956,-2.706921,-1,train
227,0.626850,17.414917,-1,train
228,5.869271,-5.807636,-1,train
229,17.217285,5.658084,-1,train
230,17.788231,6.014778,1,train
231,5.854969,-5.897819,-1,train
232,-3.280848,11.035811,-1,train
233,15.999164,12.465878,1,train
234,2.548222,13.761124,-1,train
235,5.984686,-5.856261,-1,train
236,12.749537,18.456697,-1,train
237,5.801970,-5.648136,-1,train
238,6.109885,-5.943491,-1,train
239,3.309786,-5.404125,1,train
240,-3.338300,11.315351,-1,train
241,5.800466,-5.567113,1,train
242,-0.109047,16.433891,-1,train
243,-3.563881,10.637423,-1,train
244,-4.808530,-4.389522,-1,train
245,-0.732600,17.129374,-1,train
246,-4.867441,12.602415,-1,train
247,-8.394975,8.558654,-1,train
248,32.009052,-3.048014,-1,train
249,5.600158,-5.469328,-1,train
250,-6.025262,0.348259,-1,train
251,9.896115,-5.772541,-1,train
252,-0.593801,16.589098,-1,train
253,14.289231,9.983194,1,train
254,-2.885956,10.174871,-1,train
255,-0.392800,16.722075,-1,train
256,5.778201,-5.619387,-1,train
257,-3.951161,11.072666,-1,train
258,-5.263990,-0.477925,-1,train
259,5.782370,-5.614871,-1,train
260,17.059826,5.549450,-1,train
261,17.412806,5.969261,-1,train
262,-3.523452,10.904539,-1,train
263,5.807561,-5.799023,1,train
