sample_id,umap1,umap2,label,split
0,8.966509,-4.452402,-1,train
1,3.415767,-7.163704,-1,train
2,-6.624169,7.806415,-1,train
3,10.493282,15.392913,-1,train
4,10.954475,-3.138087,-1,train
5,-6.658302,8.121526,-1,train
6,-6.503778,-0.626983,-1,train
7,-3.848250,10.055036,-1,train
8,-6.333956,7.892949,-1,train
9,3.427859,-7.145673,-1,train
10,-6.656729,7.821543,-1,train
11,16.451397,3.574169,-1,train
12,16.254108,3.752966,-1,train
13,12.299062,-7.836627,-1,train
14,15.903611,3.370684,-1,train
15,-6.638616,7.909797,-1,train
16,-5.965087,9.627191,-1,train
17,-6.624215,7.999041,-1,train
18,2.571128,-7.888965,1,train
19,7.921096,18.893181,-1,train
20,18.008951,10.810591,-1,train
21,16.451845,3.642768,-1,train
22,16.251738,3.750606,-1,train
23,-3.750418,-2.001948,-1,train
24,-6.704230,8.027407,-1,train
25,-9.390620,11.680464,-1,train
26,11.308331,15.019597,-1,train
27,1.841046,-7.624806,1,train
28,1.777564,-8.075569,-1,train
29,3.303335,-7.170523,-1,train
30,7.627497,-8.713191,-1,train
31,16.290756,3.651452,1,train
32,3.081558,-6.980483,-1,train
33,12.025064,11.728832,1,train
34,-6.651836,8.056684,-1,train
35,16.278139,3.813061,-1,train
36,14.233808,7.006689,-1,train
37,-6.101765,7.526055,-1,train
38,-2.152311,-6.872824,-1,train
39,-6.612244,8.063718,-1,train
40,-6.424827,8.017264,-1,train
41,-6.620555,8.077479,-1,train
42,-2.170277,15.928534,-1,train
43,10.498419,15.447524,-1,train
44,17.071331,17.748747,-1,train
45,21.673519,8.058414,-1,train
46,-6.246675,7.764556,-1,train
47,6.254098,17.822290,-1,train
48,-6.422572,7.832669,-1,train
49,9.512509,19.128180,-1,train
50,16.092621,3.819347,-1,train
51,-4.680462,12.993850,-1,train
52,15.996386,3.466393,-1,train
53,16.100086,10.276754,-1,train
54,15.927235,9.275813,-1,train
55,19.104729,2.005952,-1,train
56,-6.653430,7.705394,-1,train
57,9.020029,-3.980368,-1,train
58,9.254931,-4.755521,-1,train
59,-6.659835,7.860257,1,train
