config,method,lambda_eps,k,cluster_radius,lambda_k,alpha,accuracy,balanced_accuracy,precision,recall,f1,build_time_s,query_time_s
gaussian_best,knn_lambda_k1,1.8,50,2.5,50,NA,0.856250,0.472414,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k3,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k5,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_lambda_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,45.59,NA
gaussian_best,knn_cosine_k1,1.8,50,2.5,50,NA,0.937500,0.905747,0.619048,0.866667,0.722222,45.59,45.5687
gaussian_best,knn_cosine_k3,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5364
gaussian_best,knn_cosine_k5,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5024
gaussian_best,knn_cosine_k7,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.4974
gaussian_best,knn_cosine_k11,1.8,50,2.5,50,NA,0.975000,0.926437,0.866667,0.866667,0.866667,45.59,45.5780
gaussian_best,knn_cosine_k15,1.8,50,2.5,50,NA,0.968750,0.893103,0.857143,0.800000,0.827586,45.59,45.5509
gaussian_best,umap_2d_k1,1.8,50,2.5,50,NA,0.818750,0.511494,0.111111,0.133333,0.121212,92.12,0.0033
gaussian_best,umap_2d_k3,1.8,50,2.5,50,NA,0.893750,0.493103,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k5,1.8,50,2.5,50,NA,0.893750,0.493103,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k7,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0033
gaussian_best,umap_2d_k11,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0032
gaussian_best,umap_2d_k15,1.8,50,2.5,50,NA,0.906250,0.500000,0.000000,0.000000,0.000000,92.12,0.0033
gaussian_best,search_alpha0.4,1.8,50,2.5,50,0.4,0.918750,0.722989,0.700000,0.466667,0.560000,45.59,391.5002
gaussian_best,search_alpha0.6,1.8,50,2.5,50,0.6,0.943750,0.822989,0.769231,0.666667,0.714286,45.59,393.2746
gaussian_best,search_alpha0.8,1.8,50,2.5,50,0.8,0.931250,0.826437,0.833333,0.666667,0.740741,45.59,393.5291
