config,class,lambda
gaussian_best,positive,0.231668
gaussian_best,positive,0.208660
gaussian_best,positive,0.231625
gaussian_best,positive,0.276619
gaussian_best,positive,0.312143
gaussian_best,positive,0.274745
gaussian_best,positive,0.151373
gaussian_best,positive,0.217441
gaussian_best,positive,0.224526
gaussian_best,positive,0.234637
gaussian_best,positive,0.184182
gaussian_best,positive,0.184079
gaussian_best,positive,0.180780
gaussian_best,positive,0.284372
gaussian_best,positive,0.109692
gaussian_best,positive,0.202427
gaussian_best,positive,0.205260
gaussian_best,positive,0.258602
gaussian_best,positive,0.209925
gaussian_best,positive,0.179839
gaussian_best,positive,0.203300
gaussian_best,positive,0.147043
gaussian_best,positive,0.194698
gaussian_best,positive,0.130716
gaussian_best,positive,0.182405
gaussian_best,positive,0.379085
gaussian_best,positive,0.443413
gaussian_best,positive,0.103485
gaussian_best,positive,0.389889
gaussian_best,positive,0.247597
gaussian_best,positive,0.200463
gaussian_best,positive,0.136757
gaussian_best,positive,0.114132
gaussian_best,positive,0.158274
gaussian_best,positive,0.214504
gaussian_best,positive,0.142928
gaussian_best,positive,0.151435
gaussian_best,positive,0.390636
gaussian_best,positive,0.255664
gaussian_best,positive,0.251425
gaussian_best,positive,0.217528
gaussian_best,positive,0.251485
gaussian_best,positive,0.243556
gaussian_best,positive,0.152638
gaussian_best,positive,0.334775
gaussian_best,positive,0.138839
gaussian_best,positive,0.214712
gaussian_best,positive,0.246998
gaussian_best,positive,0.422684
gaussian_best,positive,0.235496
gaussian_best,positive,0.219334
gaussian_best,positive,0.119018
gaussian_best,positive,0.269182
gaussian_best,positive,0.258101
gaussian_best,positive,0.174488
gaussian_best,positive,0.329659
gaussian_best,positive,0.450881
gaussian_best,positive,0.287203
gaussian_best,positive,0.160186
gaussian_best,positive,0.126108
gaussian_best,positive,0.282400
gaussian_best,positive,0.206387
gaussian_best,positive,0.226396
gaussian_best,positive,0.146616
gaussian_best,positive,0.190832
gaussian_best,positive,0.546366
gaussian_best,positive,0.197606
gaussian_best,positive,0.173624
gaussian_best,positive,0.144317
gaussian_best,positive,0.487353
gaussian_best,positive,0.126897
gaussian_best,positive,0.215294
gaussian_best,positive,0.113813
gaussian_best,positive,0.282968
gaussian_best,positive,0.199330
gaussian_best,positive,0.325639
gaussian_best,positive,0.248960
gaussian_best,positive,0.245735
gaussian_best,negative,0.167447
gaussian_best,negative,0.279542
gaussian_best,negative,0.205925
gaussian_best,negative,0.505045
gaussian_best,negative,0.173307
gaussian_best,negative,0.202674
gaussian_best,negative,0.162063
gaussian_best,negative,0.218384
gaussian_best,negative,0.130921
gaussian_best,negative,0.090311
gaussian_best,negative,0.172042
gaussian_best,negative,0.106748
gaussian_best,negative,0.330021
gaussian_best,negative,0.263874
gaussian_best,negative,0.178826
gaussian_best,negative,0.212653
gaussian_best,negative,0.278416
gaussian_best,negative,0.118958
gaussian_best,negative,0.270149
gaussian_best,negative,0.120356
gaussian_best,negative,0.184275
gaussian_best,negative,0.223846
gaussian_best,negative,0.223160
