sample_id,umap1,umap2,label,split
0,7.844337,-7.496383,-1,train
1,7.435064,-7.582510,-1,train
2,8.004792,-6.971494,-1,train
3,4.902181,13.616244,-1,train
4,5.110440,13.558049,-1,train
5,-1.488780,-3.242385,-1,train
6,10.066008,15.393654,-1,train
7,17.366655,4.814635,-1,train
8,17.331030,8.657972,-1,train
9,7.436260,-7.174910,-1,train
10,10.212431,18.871977,-1,train
11,5.044915,13.594078,-1,train
12,-5.391100,5.562642,-1,train
13,17.351599,8.663224,-1,train
14,7.315419,-7.631837,-1,train
15,-8.451416,3.866294,-1,train
16,6.765919,-7.992792,-1,train
17,16.855747,-1.815411,-1,train
18,7.863747,-7.514843,1,train
19,17.237207,8.509052,-1,train
20,5.047985,13.444767,-1,train
21,-5.202307,-4.778461,-1,train
22,5.164106,13.416891,-1,train
23,-8.034302,3.737313,-1,train
24,5.083391,13.389805,-1,train
25,7.836084,-6.636658,-1,train
26,4.870486,13.667237,-1,train
27,-7.153344,4.477505,1,train
28,17.138355,3.120883,-1,train
29,5.057337,13.276247,-1,train
30,5.063491,13.534023,-1,train
31,4.997747,13.273511,1,train
32,4.345883,13.426439,-1,train
33,1.022062,-3.614593,1,train
34,7.406783,-7.595400,-1,train
35,17.165197,8.477787,-1,train
36,17.180847,8.595708,-1,train
37,4.710321,13.394089,-1,train
38,17.122896,8.634357,-1,train
39,-8.301268,4.164308,-1,train
40,-6.821829,6.231208,-1,train
41,4.696029,13.556641,-1,train
42,4.713824,13.631004,-1,train
43,-0.648314,12.682304,-1,train
44,4.328811,-3.497034,-1,train
45,-8.132276,-8.520867,-1,train
46,-8.316615,3.293706,-1,train
47,17.377781,8.700788,-1,train
48,4.822298,13.788733,-1,train
49,17.430565,8.458817,-1,train
50,16.426329,0.045082,-1,train
51,5.150938,13.586778,-1,train
52,17.185608,8.681082,-1,train
53,9.570260,15.003134,-1,train
54,17.319075,8.411917,-1,train
55,8.248522,-5.433883,-1,train
56,15.875624,0.668244,-1,train
57,7.785946,-7.297773,-1,train
58,-6.598244,6.590057,-1,train
59,5.093937,13.598494,1,train
60,5.051472,13.746951,-1,train
61,-4.360267,16.372305,1,train
62,15.198007,0.964138,-1,train
63,7.362571,-7.100332,-1,train
64,7.623350,-7.113048,-1,train
65,-5.805175,9.398106,-1,train
66,12.339480,0.344412,-1,train
67,-6.325853,6.214045,-1,train
68,15.285228,0.200629,-1,train
69,5.018944,13.594864,-1,train
70,-3.184880,1.597595,-1,train
71,14.407461,0.072898,1,train
72,17.273300,8.569338,-1,train
73,-6.552353,9.011011,-1,train
74,5.041652,13.660098,-1,train
75,17.017002,8.356119,-1,train
76,4.834330,13.450851,-1,train
77,16.843513,5.816189,1,train
78,5.136742,15.838728,-1,train
79,5.094664,14.872794,-1,train
80,15.927699,7.497754,-1,train
81,4.967203,15.202673,-1,train
82,17.063864,8.659335,-1,train
83,9.690164,16.816977,-1,train
84,-1.941135,0.600834,-1,train
85,-2.843375,12.663904,-1,train
86,15.319702,0.826889,-1,train
87,-2.548163,-3.528527,-1,train
88,4.648901,13.805667,-1,train
89,17.272406,8.463219,-1,train
90,-8.290012,3.866972,-1,train
91,4.509931,13.490663,-1,train
92,7.727475,-7.270910,-1,train
93,13.148129,13.422073,-1,train
