method,tau,k,BER,pos_error,neg_error,precision,recall,f1,confusion,n_pos,n_neg,n_queries,n_failed_queries
Cosine,1.0,5,0.021739130434782608,0.0,0.043478260869565216,0.6666666666666666,1.0,0.8,"{'TP': 4, 'FP': 2, 'TN': 44, 'FN': 0}",4,46,50,0
Cosine,1.0,10,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Cosine,1.0,15,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Cosine,1.0,20,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Cosine,1.0,25,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Hybrid,0.72,5,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
Hybrid,0.72,10,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
Hybrid,0.72,15,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
Hybrid,0.72,20,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
Hybrid,0.72,25,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
TauMode,0.42,5,0.125,0.25,0.0,1.0,0.75,0.8571428571428571,"{'TP': 3, 'FP': 0, 'TN': 46, 'FN': 1}",4,46,50,0
TauMode,0.42,10,0.25,0.5,0.0,1.0,0.5,0.6666666666666666,"{'TP': 2, 'FP': 0, 'TN': 46, 'FN': 2}",4,46,50,0
TauMode,0.42,15,0.25,0.5,0.0,1.0,0.5,0.6666666666666666,"{'TP': 2, 'FP': 0, 'TN': 46, 'FN': 2}",4,46,50,0
TauMode,0.42,20,0.25,0.5,0.0,1.0,0.5,0.6666666666666666,"{'TP': 2, 'FP': 0, 'TN': 46, 'FN': 2}",4,46,50,0
TauMode,0.42,25,0.25,0.5,0.0,1.0,0.5,0.6666666666666666,"{'TP': 2, 'FP': 0, 'TN': 46, 'FN': 2}",4,46,50,0
Baseline Cosine,1.0,5,0.021739130434782608,0.0,0.043478260869565216,0.6666666666666666,1.0,0.8,"{'TP': 4, 'FP': 2, 'TN': 44, 'FN': 0}",4,46,50,0
Baseline Cosine,1.0,10,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Baseline Cosine,1.0,15,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Baseline Cosine,1.0,20,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
Baseline Cosine,1.0,25,0.010869565217391304,0.0,0.021739130434782608,0.8,1.0,0.888888888888889,"{'TP': 4, 'FP': 1, 'TN': 45, 'FN': 0}",4,46,50,0
