sample_id,umap1,umap2,label,split
0,-8.006939,5.594187,-1,train
1,-7.778180,5.581973,-1,train
2,-1.472340,0.851609,-1,train
3,-7.768371,5.587780,-1,train
4,3.136877,-6.681376,-1,train
5,-7.803051,5.559031,-1,train
6,-1.068161,15.907750,-1,train
7,4.293288,14.033961,-1,train
8,2.737473,-6.204614,-1,train
9,-7.840321,5.570725,-1,train
10,15.347635,3.945858,-1,train
11,3.034750,-6.230347,-1,train
12,15.342139,3.933054,-1,train
13,9.396473,16.127434,-1,train
14,-3.429772,18.706404,-1,train
15,2.781083,-6.149375,-1,train
16,-5.792365,6.007349,-1,train
17,-7.855634,5.511005,-1,train
18,2.773825,-6.260412,1,train
19,9.121021,-4.926565,-1,train
20,8.036200,16.303335,-1,train
21,-3.396991,-5.039223,-1,train
22,15.882593,7.786151,-1,train
23,14.008138,-5.561467,-1,train
24,3.003690,-6.730656,-1,train
25,-6.267196,-4.801429,-1,train
26,-3.359043,13.958862,-1,train
27,2.742033,-6.689826,1,train
28,2.756074,-6.474017,-1,train
29,15.441280,3.911964,-1,train
30,-7.876141,5.508422,-1,train
31,6.349826,18.959185,1,train
32,15.263986,11.731529,-1,train
33,-7.927404,5.370344,1,train
34,15.348400,3.609629,-1,train
35,12.677395,-8.141246,-1,train
36,-1.389986,20.431835,-1,train
37,-5.132016,-1.958986,-1,train
38,2.777535,-6.581801,-1,train
39,0.654847,15.420792,-1,train
40,0.258706,20.535936,-1,train
41,11.339462,-3.393690,-1,train
42,14.590528,12.236518,-1,train
43,3.072011,-6.649362,-1,train
44,-11.970009,-0.729128,-1,train
45,-9.168996,7.199135,-1,train
46,-7.881530,5.493167,-1,train
47,-0.845803,15.776391,-1,train
48,2.777146,-6.116096,-1,train
49,14.600824,11.895701,-1,train
50,15.244836,4.092247,-1,train
51,11.035216,16.740187,-1,train
52,14.983289,3.511306,-1,train
53,16.497663,5.169094,-1,train
54,16.277634,12.191358,-1,train
55,3.783911,-7.776753,-1,train
56,3.089799,-6.203451,-1,train
57,15.464369,3.959402,-1,train
58,7.071075,-4.654740,-1,train
59,9.349583,15.246900,1,train
60,15.322430,3.820815,-1,train
61,15.497771,4.009932,1,train
62,3.205396,-6.314212,-1,train
63,-10.507488,9.329213,-1,train
64,15.403440,3.856773,-1,train
65,9.179236,14.947039,-1,train
66,-0.969492,15.683901,-1,train
67,-7.989489,5.392893,-1,train
68,19.617622,9.453236,-1,train
69,-7.784577,5.310658,-1,train
70,3.063642,-6.206146,-1,train
71,15.464904,3.964405,1,train
72,11.374321,17.900877,-1,train
73,-11.272529,8.824931,-1,train
74,-4.706076,-3.014926,-1,train
75,2.984772,-6.540003,-1,train
76,-8.110036,5.266975,-1,train
77,12.244260,-7.413449,1,train
78,14.000392,-0.053075,-1,train
79,-0.989205,14.027978,-1,train
80,2.832486,-6.258468,-1,train
81,2.590220,-6.239419,-1,train
82,-2.069951,12.134579,-1,train
83,-4.574054,12.081009,-1,train
84,14.969156,1.504417,-1,train
85,16.177559,1.892858,-1,train
86,-7.900990,5.470626,-1,train
87,11.386439,15.955970,-1,train
88,-4.518718,8.467770,-1,train
89,15.534264,4.257095,-1,train
90,2.902040,-6.529225,-1,train
91,1.157769,15.250604,-1,train
92,15.012129,11.271878,-1,train
93,7.285430,-5.437972,-1,train
94,15.458723,3.895654,-1,train
95,3.209437,-6.737331,-1,train
96,-7.880598,5.496702,-1,train
97,-7.877578,5.440978,-1,train
98,15.698079,11.404477,-1,train
99,12.820392,-7.535884,-1,train
100,2.773979,-6.575408,1,train
101,17.904673,5.426840,-1,train
102,14.284951,9.308784,-1,train
103,3.061043,-6.521038,-1,train
104,2.845195,-6.490647,-1,train
105,9.588820,14.694029,-1,train
106,14.992167,3.490876,-1,train
107,2.798054,-6.547527,1,train
108,3.111568,-6.194677,-1,train
109,15.425861,3.973087,-1,train
110,-1.337449,-2.951169,-1,train
111,-3.282525,12.450852,-1,train
112,3.065969,-6.213943,-1,train
113,11.911196,15.739694,-1,train
114,18.353817,5.014340,-1,train
115,15.410414,11.308438,-1,train
116,3.142860,-6.559520,-1,train
117,2.788304,-6.590836,-1,train
118,3.396212,-6.721253,-1,train
119,-1.117402,15.585965,-1,train
120,-2.465744,1.059570,-1,train
121,-0.801994,16.182623,-1,train
122,15.321698,16.292456,-1,train
123,15.300921,3.919426,-1,train
124,2.680845,-6.886132,-1,train
125,15.464165,3.665161,-1,train
126,2.891070,-6.725787,-1,train
127,-7.997768,5.371038,-1,train
128,14.098817,-5.012079,-1,train
129,-6.459528,2.218343,-1,train
130,13.729515,-3.223957,-1,train
131,3.107765,-6.569574,-1,train
132,14.950928,-1.352330,-1,train
133,2.723541,-6.631459,1,train
134,9.082817,14.888021,-1,train
135,3.112132,-6.512911,-1,train
136,3.087086,-6.313649,-1,train
137,-9.247121,-3.193195,-1,train
138,15.000146,4.009042,-1,train
139,15.207696,8.129652,-1,train
140,-7.888567,5.331524,-1,train
141,-0.872802,15.885654,-1,train
142,3.224714,-6.468190,-1,train
143,-7.852339,5.497678,-1,train
144,6.450486,-5.978433,-1,train
145,-0.961184,15.402129,-1,train
146,11.331165,-3.061930,-1,train
147,2.696603,-6.175364,-1,train
148,3.165949,-6.109833,-1,train
149,-16.652876,-8.823328,-1,train
150,-7.881010,5.485342,-1,train
151,-1.071337,15.588741,-1,train
152,2.635716,-6.158853,-1,train
153,2.818379,-6.694415,-1,train
154,10.548944,16.603344,-1,train
155,-4.152340,-5.823496,-1,train
156,18.267694,2.565379,-1,train
157,-7.997868,5.593799,-1,train
158,-5.983685,14.551999,-1,train
159,3.186905,-6.570969,-1,train
160,18.259279,9.242939,-1,train
161,3.002480,-6.649778,-1,train
162,15.624775,4.064371,-1,train
163,2.658740,-6.509906,1,train
164,-4.855309,-1.968954,-1,train
165,-0.200139,-2.783456,1,train
166,15.352793,11.859909,-1,train
167,2.796324,-6.538611,-1,train
168,3.181213,-6.612866,-1,train
169,9.086696,14.841178,-1,train
170,16.124752,2.912372,-1,train
171,2.899942,-6.346894,-1,train
172,3.121468,-6.764579,-1,train
173,0.365738,15.289839,-1,train
174,-7.940764,5.445790,-1,train
175,8.927915,14.975733,-1,train
176,1.147995,13.982760,-1,train
177,-2.873854,16.265827,-1,train
178,2.786896,-6.346338,1,train
179,14.236675,12.551669,-1,train
180,15.479717,3.964064,-1,train
