sample_id,umap1,umap2,label,split
0,-3.852449,-3.786487,-1,train
1,-9.316834,4.737163,-1,train
2,17.515942,7.406956,-1,train
3,17.515646,7.456580,-1,train
4,17.753992,7.467563,-1,train
5,-5.314085,6.891598,-1,train
6,17.618679,7.327067,-1,train
7,13.853002,5.478226,-1,train
8,-4.303594,-0.378221,-1,train
9,0.827623,-4.875852,-1,train
10,10.266215,14.400145,-1,train
11,-6.216436,3.627616,-1,train
12,-2.828861,-3.710437,-1,train
13,17.794453,7.548385,-1,train
14,15.336713,2.155385,-1,train
15,13.990928,-2.933339,-1,train
16,9.266020,15.533546,-1,train
17,-8.563339,8.458602,-1,train
18,-6.360106,9.260356,1,train
19,9.841182,14.474883,-1,train
20,-6.065022,9.773283,-1,train
21,9.770161,14.525661,-1,train
22,17.713484,7.389810,-1,train
23,1.119992,-5.023973,-1,train
24,-5.971694,3.332402,-1,train
25,-4.023128,-5.938278,-1,train
26,-4.919213,9.749518,-1,train
27,2.291902,-3.839091,1,train
28,9.754293,14.497104,-1,train
29,3.876145,-9.312120,-1,train
30,14.142546,8.938074,-1,train
31,9.891972,14.733782,1,train
32,-0.711724,17.014040,-1,train
33,-6.297977,3.973691,1,train
34,2.956086,-8.076651,-1,train
35,17.725361,7.447093,-1,train
36,0.999648,-4.945065,-1,train
37,-2.008664,-7.938312,-1,train
38,1.696934,-6.612702,-1,train
39,2.233297,-6.649862,-1,train
40,-2.101637,17.902533,-1,train
41,3.899113,-5.541803,-1,train
42,17.668501,7.432788,-1,train
43,7.701697,-5.677203,-1,train
44,3.576515,20.868450,-1,train
45,25.594826,-11.527664,-1,train
46,-1.034480,15.404336,-1,train
47,10.232835,14.473898,-1,train
48,10.041430,14.598052,-1,train
49,14.494284,-5.980890,-1,train
50,17.704161,7.363989,-1,train
51,10.288450,14.258053,-1,train
52,17.358641,7.059817,-1,train
53,13.107732,-7.742247,-1,train
54,9.941917,14.413099,-1,train
55,18.598646,-8.410088,-1,train
56,11.237547,-4.699201,-1,train
57,17.566086,7.508351,-1,train
58,17.737804,7.370648,-1,train
59,10.052355,14.506158,1,train
60,17.790901,7.538254,-1,train
61,12.301337,-3.638410,1,train
62,9.691219,14.340984,-1,train
63,-5.231769,0.003124,-1,train
64,17.754160,7.499539,-1,train
65,9.826435,14.854920,-1,train
66,17.556946,7.493585,-1,train
67,-1.858794,-7.775449,-1,train
68,17.722818,7.359650,-1,train
69,7.831329,-6.074916,-1,train
70,-3.843014,10.232325,-1,train
71,14.349198,8.928883,1,train
72,-3.041897,15.745665,-1,train
73,7.943698,16.290047,-1,train
74,-8.914302,1.334412,-1,train
75,17.697136,7.355820,-1,train
76,9.825077,14.817892,-1,train
77,12.659671,-6.838895,1,train
78,9.963075,14.706365,-1,train
79,-6.395226,6.365131,-1,train
80,9.883264,14.749942,-1,train
81,18.762150,12.098703,-1,train
82,-5.768848,3.981369,-1,train
83,-5.718098,8.859385,-1,train
84,-0.304014,15.197394,-1,train
85,17.796669,7.375714,-1,train
86,-6.080498,3.738456,-1,train
87,-5.342288,3.895509,-1,train
88,9.825756,14.798926,-1,train
89,17.754848,7.238510,-1,train
90,9.757489,-9.182797,-1,train
91,-8.788120,0.399406,-1,train
92,9.812699,14.904676,-1,train
93,17.623211,7.297386,-1,train
94,15.252842,2.023652,-1,train
95,-5.922511,2.722184,-1,train
96,5.145872,-5.757175,-1,train
97,-4.362105,-0.293979,-1,train
98,9.906003,14.783312,-1,train
99,17.635891,7.350882,-1,train
100,1.426948,-4.892382,1,train
101,17.707167,7.349795,-1,train
102,17.526218,7.428379,-1,train
103,9.891117,14.799706,-1,train
104,17.466660,7.203387,-1,train
105,17.452621,7.400033,-1,train
106,9.837473,14.821987,-1,train
107,4.321726,-5.504746,1,train
108,16.826309,10.008905,-1,train
109,14.373910,-6.114199,-1,train
110,10.095451,14.816663,-1,train
