sample_id,umap1,umap2,label,split
0,-6.392626,3.165666,-1,train
1,-0.081673,-6.525789,-1,train
2,13.627181,16.037991,-1,train
3,-0.044476,-6.643845,-1,train
4,-0.466287,-6.867299,-1,train
5,7.593192,17.701275,-1,train
6,13.918877,14.646671,-1,train
7,-4.242146,16.041018,-1,train
8,8.898192,-8.117676,-1,train
9,-0.453494,-6.759944,-1,train
10,7.666820,15.787599,-1,train
11,-0.403475,-6.565651,-1,train
12,-6.228867,0.851242,-1,train
13,-0.365816,-6.371766,-1,train
14,-0.001036,-6.527365,-1,train
15,-0.178667,-6.772154,-1,train
16,-7.083666,-2.188713,-1,train
17,-6.073269,14.132280,-1,train
18,0.056139,-6.959649,1,train
19,10.763775,-4.001726,-1,train
20,0.010761,-6.880947,-1,train
21,-0.094709,-6.845175,-1,train
22,13.659281,14.973974,-1,train
23,-0.127190,-6.838252,-1,train
24,-5.110986,0.194447,-1,train
25,17.352953,5.832238,-1,train
26,-3.832195,16.685017,-1,train
27,11.745422,15.665820,1,train
28,17.152006,5.150591,-1,train
29,1.064990,12.996300,-1,train
30,-0.500071,-6.419759,-1,train
31,7.094508,15.251882,1,train
32,12.210094,9.657049,-1,train
33,16.983074,4.890306,1,train
34,-0.532737,-6.372458,-1,train
35,-0.233819,-6.579511,-1,train
36,5.681466,20.212128,-1,train
37,-1.489072,11.352075,-1,train
38,-6.079410,1.454816,-1,train
39,-0.475324,-6.831537,-1,train
40,0.517209,13.506437,-1,train
41,13.209020,13.506544,-1,train
42,17.633652,-3.333276,-1,train
43,-0.436990,-6.877320,-1,train
44,6.137326,-1.261555,-1,train
45,21.421190,12.529281,-1,train
46,-6.166348,14.418429,-1,train
47,16.478199,4.693202,-1,train
48,7.238401,15.348219,-1,train
49,-0.511648,-6.570670,-1,train
50,19.277222,8.540436,-1,train
51,7.792385,15.765465,-1,train
52,17.450443,4.878504,-1,train
53,17.632078,4.927418,-1,train
54,17.570599,4.820870,-1,train
55,-2.312193,12.922889,-1,train
56,17.615383,4.989618,-1,train
57,17.521605,4.971918,-1,train
58,7.632020,15.346823,-1,train
59,-6.913170,9.996540,1,train
60,-0.709380,18.331499,-1,train
61,7.804019,15.328177,1,train
62,17.199247,-2.360875,-1,train
63,-3.686929,14.446052,-1,train
64,-0.092297,-6.499207,-1,train
65,13.550469,13.133283,-1,train
66,17.464460,4.922802,-1,train
67,-8.716929,4.899498,-1,train
68,-0.365279,-6.604207,-1,train
