experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
1,25,0.500,1.6,1.50,20,104,25,800,0.00000000,1.00000000,0.33548147,1.00000000,2306,0.949646,0.050354,45.05
2,25,0.500,1.6,1.50,30,104,25,800,0.00000000,1.00000000,0.28478813,1.00000000,3492,0.923749,0.076251,45.30
3,25,0.500,1.6,1.50,50,104,25,800,0.00000000,1.00000000,0.17384889,1.00000000,5420,0.881649,0.118351,44.53
4,25,0.500,1.6,2.00,20,104,25,800,0.00000000,1.00000000,0.27804899,1.00000000,2298,0.949821,0.050179,44.52
5,25,0.500,1.6,2.00,30,104,25,800,0.00000000,1.00000000,0.19129803,1.00000000,3524,0.923050,0.076950,44.89
6,25,0.500,1.6,2.00,50,104,25,800,0.00000000,1.00000000,0.28001334,1.00000000,5468,0.880601,0.119399,44.40
7,25,0.500,1.6,2.50,20,104,25,800,0.00000000,1.00000000,0.34317262,1.00000000,2306,0.949646,0.050354,44.87
8,25,0.500,1.6,2.50,30,104,25,800,0.00000000,1.00000000,0.18253723,1.00000000,3526,0.923006,0.076994,44.50
9,25,0.500,1.6,2.50,50,104,25,800,0.00000000,1.00000000,0.26404611,1.00000000,5462,0.880732,0.119268,44.63
10,25,0.500,1.6,3.00,20,104,25,800,0.00000000,1.00000000,0.37652652,1.00000000,2298,0.949821,0.050179,44.85
11,25,0.500,1.6,3.00,30,104,25,800,0.00000000,1.00000000,0.24632090,1.00000000,3520,0.923137,0.076863,45.04
12,25,0.500,1.6,3.00,50,104,25,800,0.00000000,1.00000000,0.23322953,1.00000000,5446,0.881081,0.118919,47.43
13,25,0.500,1.6,4.00,20,104,25,800,0.00000000,1.00000000,0.33715032,1.00000000,2308,0.949603,0.050397,44.58
14,25,0.500,1.6,4.00,30,104,25,800,0.00000000,1.00000000,0.27061352,1.00000000,3526,0.923006,0.076994,44.47
15,25,0.500,1.6,4.00,50,104,25,800,0.00000000,1.00000000,0.28527772,1.00000000,5466,0.880645,0.119355,44.56
16,25,0.500,1.6,5.00,20,104,25,800,0.00000000,1.00000000,0.27875993,1.00000000,2302,0.949734,0.050266,44.44
17,25,0.500,1.6,5.00,30,104,25,800,0.00000000,1.00000000,0.21838524,1.00000000,3522,0.923094,0.076906,44.49
18,25,0.500,1.6,5.00,50,104,25,800,0.00000000,1.00000000,0.24929817,1.00000000,5458,0.880819,0.119181,44.59
19,25,0.500,2.0,1.50,20,104,25,800,0.00000000,1.00000000,0.26583214,1.00000000,2308,0.949603,0.050397,44.84
20,25,0.500,2.0,1.50,30,104,25,800,0.00000000,1.00000000,0.32246192,1.00000000,3506,0.923443,0.076557,44.88
21,25,0.500,2.0,1.50,50,104,25,800,0.00000000,1.00000000,0.35491109,1.00000000,5416,0.881736,0.118264,44.62
22,25,0.500,2.0,2.00,20,104,25,800,0.00000000,1.00000000,0.33063015,1.00000000,2302,0.949734,0.050266,44.49
23,25,0.500,2.0,2.00,30,104,25,800,0.00000000,1.00000000,0.28468498,1.00000000,3514,0.923268,0.076732,44.49
24,25,0.500,2.0,2.00,50,104,25,800,0.00000000,1.00000000,0.21267453,1.00000000,5472,0.880514,0.119486,44.56
25,25,0.500,2.0,2.50,20,104,25,800,0.00000000,1.00000000,0.33616494,1.00000000,2310,0.949559,0.050441,73.03
26,25,0.500,2.0,2.50,30,104,25,800,0.00000000,1.00000000,0.26785761,1.00000000,3526,0.923006,0.076994,88.15
27,25,0.500,2.0,2.50,50,104,25,800,0.00000000,1.00000000,0.26719289,1.00000000,5466,0.880645,0.119355,79.55
28,25,0.500,2.0,3.00,20,104,25,800,0.00000000,1.00000000,0.22766392,1.00000000,2306,0.949646,0.050354,85.98
29,25,0.500,2.0,3.00,30,104,25,800,0.00000000,1.00000000,0.27907138,1.00000000,3520,0.923137,0.076863,87.40
30,25,0.500,2.0,3.00,50,104,25,800,0.00000000,1.00000000,0.24449525,1.00000000,5464,0.880688,0.119312,86.41
31,25,0.500,2.0,4.00,20,104,25,800,0.00000000,1.00000000,0.35422476,1.00000000,2304,0.949690,0.050310,88.06
32,25,0.500,2.0,4.00,30,104,25,800,0.00000000,1.00000000,0.24940469,1.00000000,3518,0.923181,0.076819,86.72
33,25,0.500,2.0,4.00,50,104,25,800,0.00000000,1.00000000,0.19477863,1.00000000,5460,0.880776,0.119224,86.32
34,25,0.500,2.0,5.00,20,104,25,800,0.00000000,1.00000000,0.34648877,1.00000000,2306,0.949646,0.050354,85.74
35,25,0.500,2.0,5.00,30,104,25,800,0.00000000,1.00000000,0.30292549,1.00000000,3522,0.923094,0.076906,86.21
36,25,0.500,2.0,5.00,50,104,25,800,0.00000000,1.00000000,0.20430550,1.00000000,5464,0.880688,0.119312,86.49
37,25,0.500,2.5,1.50,20,104,25,800,0.00000000,1.00000000,0.23186799,1.00000000,2302,0.949734,0.050266,86.75
38,25,0.500,2.5,1.50,30,104,25,800,0.00000000,1.00000000,0.27084803,1.00000000,3482,0.923967,0.076033,86.82
39,25,0.500,2.5,1.50,50,104,25,800,0.00000000,1.00000000,0.33422121,1.00000000,5412,0.881824,0.118176,81.91
40,25,0.500,2.5,2.00,20,104,25,800,0.00000000,1.00000000,0.28877275,1.00000000,2302,0.949734,0.050266,86.65
41,25,0.500,2.5,2.00,30,104,25,800,0.00000000,1.00000000,0.28999878,1.00000000,3528,0.922963,0.077037,86.10
42,25,0.500,2.5,2.00,50,104,25,800,0.00000000,1.00000000,0.26100333,1.00000000,5468,0.880601,0.119399,88.98
43,25,0.500,2.5,2.50,20,104,25,800,0.00000000,1.00000000,0.27130172,1.00000000,2302,0.949734,0.050266,86.81
